sample_idx,frame_path,active,is_stale,selected_y,selected_h,selected_y_top_frac,body_shape,motion_x,motion_y,target_lost_frames,instant_adopted,switch_adopted,candidate_count,accepted_count
156,/workspace/artifacts/real_apex_test/_gif_frames/frame_156.png,True,False,156.0,264.0,0.3466666666666667,0.994288242496724,246.435,263.8028897266729,0,False,False,4,2
157,/workspace/artifacts/real_apex_test/_gif_frames/frame_157.png,True,False,106.0,314.0,0.23555555555555555,1.0,261.9218972805735,251.5907223124008,0,True,False,5,1
158,/workspace/artifacts/real_apex_test/_gif_frames/frame_158.png,True,False,124.0,295.0,0.27555555555555555,1.0,281.3147491559268,253.34601624259443,0,True,False,5,1
159,/workspace/artifacts/real_apex_test/_gif_frames/frame_159.png,False,True,124.0,295.0,0.27555555555555555,1.0,281.3147491559268,253.34601624259443,1,False,False,4,1
160,/workspace/artifacts/real_apex_test/_gif_frames/frame_160.png,False,True,124.0,295.0,0.27555555555555555,1.0,281.3147491559268,253.34601624259443,1,False,False,5,2
161,/workspace/artifacts/real_apex_test/_gif_frames/frame_161.png,True,False,151.0,269.0,0.33555555555555555,1.0,288.61168116523527,240.13101837177229,0,True,False,6,2
162,/workspace/artifacts/real_apex_test/_gif_frames/frame_162.png,False,True,151.0,269.0,0.33555555555555555,1.0,288.61168116523527,240.13101837177229,1,False,False,4,3
163,/workspace/artifacts/real_apex_test/_gif_frames/frame_163.png,False,True,151.0,269.0,0.33555555555555555,1.0,288.61168116523527,240.13101837177229,1,False,False,6,3
164,/workspace/artifacts/real_apex_test/_gif_frames/frame_164.png,False,True,151.0,269.0,0.33555555555555555,1.0,288.61168116523527,240.13101837177229,2,False,False,5,3
165,/workspace/artifacts/real_apex_test/_gif_frames/frame_165.png,False,True,151.0,269.0,0.33555555555555555,1.0,288.61168116523527,240.13101837177229,2,False,False,9,3
